DDH;From;To;Fe;S;Cu;MET Total;Litologia;AI;DG;;;
ODH-01;0;3;61.86;0.06;0.0176;936;SL;3;;;;
ODH-01;3;4.5;58.24;0.02;0.04526;1217.6;MG;1.5;;;;
ODH-01;4.5;6;40.44;0.01;0.01799;1481;MG;1.5;;;;
ODH-01;6;7.5;50.16;0.01;0.01616;1200.7;MG;1.5;;;;
ODH-01;7.5;9;50.97;0.005;0.03673;1255.5;MG;1.5;;;;
ODH-01;9;10.5;45.03;0.005;0.0338;1337.2;MG;1.5;;;;
ODH-01;10.5;12;45.39;0.01;0.06408;1651.2;MG;1.5;;;;
ODH-01;12;13.5;43.5;0.02;0.0533;1953.3;MG;1.5;3.73;;;
ODH-01;13.5;15;54.34;0.3;0.06652;1391;MG;1.5;3.73;;;
ODH-01;15;16.5;55.66;0.19;0.0746;1503.4;MG;1.5;3.82;;;
ODH-01;16.5;18;55.02;0.08;0.05568;1230.7;MG;1.5;3.82;;;
ODH-01;18;19.5;48.86;0.05;0.11162;1486.2;MG;1.5;4.66;;;
ODH-01;19.5;21;61.78;0.04;0.07276;1118;MG;1.5;4.66;;;
ODH-01;21;22.5;62.72;0.02;0.06521;731.3;MG;1.5;;;;
ODH-01;22.5;24;58.77;0.02;0.09024;1119.7;MG;1.5;;;;
ODH-01;24;25.5;55.68;0.03;0.08282;1434.5;MG;1.5;;;;
ODH-01;25.5;27;39.93;0.03;0.13137;1706.7;MG;1.5;;;;
ODH-01;27;28.5;58.49;0.02;0.12972;1246.5;MG;1.5;;;;
ODH-01;28.5;30;58.54;0.06;0.13036;1239.3;MG;1.5;;;;
ODH-01;30;31.5;54.85;0.03;0.06641;1513.8;MG;1.5;;;;
ODH-01;31.5;33;36.34;0.2;0.09399;2129.5;MG;1.5;;;;
ODH-01;33;34.5;64.36;0.17;0.01908;1159;MG;1.5;;;;
ODH-01;34.5;36;64.82;0.06;0.02923;1169.1;MG;1.5;;;;
ODH-01;36;37.5;62.88;0.1;0.0859;1418.1;MG;1.5;;;;
ODH-01;37.5;39;62.72;0.05;0.21173;1425.9;MG;1.5;;;;
ODH-01;39;40.5;61.74;0.18;0.08332;1512.1;MG;1.5;;;;
ODH-01;40.5;42;66.02;0.08;0.05994;2038.1;MG;1.5;;;;
ODH-01;42;43.5;59.54;0.11;0.05686;1551.5;MG;1.5;;;;
ODH-01;43.5;45;65.36;0.06;0.03483;887.5;MG;1.5;;;;
ODH-01;45;46.5;63.81;0.12;0.06383;1274.6;MG;1.5;;;;
ODH-01;46.5;48;58.27;2.4;0.27073;1491.6;MG;1.5;;;;
ODH-01;48;49.5;58.13;2.88;0.28742;1625.4;MG;1.5;;;;
ODH-01;49.5;51;53.08;3.05;0.11975;1828.8;MG;1.5;;;;
ODH-01;51;52.5;49.3;2.56;0.21948;1854.7;MG;1.5;;;;
ODH-01;52.5;54;54.66;2.24;0.09723;1428.5;MG;1.5;;;;
ODH-01;54;55.5;50.68;2.25;0.09208;1623.9;MG;1.5;;;;
ODH-01;55.5;57;49.25;0.94;0.03049;2208;MG;1.5;;;;
ODH-01;57;58.5;48.76;1.11;0.06558;1894.8;MG;1.5;;;;
ODH-01;58.5;60;52.15;2.63;0.09588;1578.5;MG;1.5;;;;
ODH-01;60;61.5;58.51;1.42;0.10711;1380.7;MG;1.5;;;;
ODH-01;61.5;63;60.5;2.97;0.08396;1388;MG;1.5;;;;
ODH-01;63;64.5;55.71;3.32;0.12905;1576.3;MG;1.5;;;;
ODH-01;64.5;66;53.78;3.35;0.15884;1836.6;MG;1.5;;;;
ODH-01;66;67.5;58.25;2.92;0.19514;1360.4;MG;1.5;;;;
ODH-01;67.5;69;60.4;4.46;0.3088;1474.7;MG;1.5;;;;
ODH-01;69;70.5;63.08;4.12;0.23436;1574.7;MG;1.5;;;;
ODH-01;70.5;72;61.35;3.23;0.15389;1512.9;MG;1.5;;;;
