Este[X],Norte[Y],VA,VA_KO,VA_RNA
0.0,990.0,42.06107077678665,33.810701563735954,42.08
10.0,990.0,31.353494159737522,35.59635162631901,42.92
20.0,990.0,11.019984031800856,34.480187958996716,43.73
30.0,990.0,12.062204937374162,33.71332318233652,44.69
40.0,990.0,24.515475278714472,31.690500110554904,45.78
50.0,990.0,20.815651568235506,29.722896368806744,46.83
60.0,990.0,11.620704829575043,28.807544848824477,47.94
70.0,990.0,5.196670289109356,29.76706520646163,48.98
80.0,990.0,30.492779326887696,31.27371638700936,50.07
90.0,990.0,21.770587148320924,33.191196130804784,51.14
100.0,990.0,20.06649723967552,36.27260815774437,52.22
110.0,990.0,27.57337179840165,40.97035992791494,53.16
120.0,990.0,26.633646112773096,47.22235443878971,54.02
130.0,990.0,28.685747169539376,53.903729505297726,54.83
140.0,990.0,42.560421993752335,60.45804970583418,55.7
150.0,990.0,50.68929382831992,58.68094464540558,56.5
160.0,990.0,61.32776599780948,55.65195777801018,57.31
170.0,990.0,51.168204470289865,52.95587528606813,58.09
180.0,990.0,54.97612310201211,50.88712163628531,59.17
190.0,990.0,48.168660560905906,49.10266421519157,60.07
200.0,990.0,59.87286501728988,48.396094602213175,60.98
210.0,990.0,58.31226449396379,48.55368950070467,61.54
220.0,990.0,40.96092282636699,48.88710503715562,60.93
230.0,990.0,33.74996389437082,51.78605003256021,60.23
240.0,990.0,40.22643446410146,56.98279479582609,59.34
250.0,990.0,56.28736428600119,59.360309007162655,58.11
260.0,990.0,65.80769356224174,62.35305886082078,56.87
270.0,990.0,56.0000308158057,63.33575009731001,55.61
280.0,990.0,43.715337498552344,60.813941085295724,54.3
290.0,990.0,30.610911672002313,57.84833122997046,53.02
300.0,990.0,34.086135256396304,54.65434410315565,51.72
310.0,990.0,18.691619217608153,51.50668675756116,50.44
320.0,990.0,31.559726510647238,47.967028177507316,49.15
330.0,990.0,45.288092356354994,44.00441463817544,47.85
340.0,990.0,38.47263862111114,43.708531512798736,46.57
350.0,990.0,34.01607978105772,43.03571834280909,45.28
360.0,990.0,23.134858969032415,42.00284567694695,43.99
370.0,990.0,31.98108182994598,40.83196019706639,42.7
380.0,990.0,44.32241938973592,39.553378013383515,41.42
390.0,990.0,58.78716741950081,38.03184265601234,40.14
400.0,990.0,38.68699076093786,37.686154708555236,39.07
410.0,990.0,47.83745869324587,38.39581702772693,38.02
420.0,990.0,42.74337430442387,38.6517525117739,36.98
430.0,990.0,46.80874597538734,39.552399398435234,36.53
440.0,990.0,67.72174821588203,39.423823436393754,36.09
450.0,990.0,39.07435539007716,38.82613997390908,35.67
460.0,990.0,56.127397376248936,37.260440733708485,35.25
470.0,990.0,40.11525369371906,36.95280738862921,34.82
480.0,990.0,64.4546525989654,36.17515350023092,34.41
490.0,990.0,46.960598647076374,34.39544188598673,34.06
500.0,990.0,49.63471801741994,33.42369380579979,33.83
510.0,990.0,21.604883061124728,32.190426681011495,33.62
520.0,990.0,25.464618172818103,31.233192002557644,33.4
530.0,990.0,46.411721343428404,30.82741451618717,33.18
540.0,990.0,58.03035254266031,29.946090179448014,32.96
550.0,990.0,42.984525596268675,29.061617923151626,32.72
560.0,990.0,27.717271206787224,28.876791003835386,32.55
570.0,990.0,36.605753272653,29.73163232187829,32.47
580.0,990.0,38.90526185904549,31.308085808595127,32.43
590.0,990.0,54.36115215240052,32.72156666263379,32.39
600.0,990.0,38.87398292748573,34.775049317594785,32.32
610.0,990.0,46.50045858723804,37.37468035352125,32.24
620.0,990.0,44.35993076441718,38.99485195118965,32.17
630.0,990.0,40.531382717653415,40.54116895607664,32.09
640.0,990.0,37.14003738169964,41.210568517658054,32.02
650.0,990.0,44.91711936143774,39.05063231541145,31.99
660.0,990.0,48.92896710980576,36.58276511436471,32.02
670.0,990.0,39.71699001868104,35.01817066401004,32.06
680.0,990.0,40.92657921662445,33.70815987110221,32.09
690.0,990.0,11.292878806158711,32.295380780362784,32.12
700.0,990.0,20.925323487039158,30.164917505605377,32.16
710.0,990.0,17.848546293286955,29.77027906987123,32.19
720.0,990.0,39.506190480785385,28.249992485341732,32.22
730.0,990.0,27.901834134690226,28.56321139584653,32.33
740.0,990.0,25.213212418718946,28.71608485929515,32.46
750.0,990.0,26.493287964074025,29.702402508059915,32.64
760.0,990.0,39.51838393027829,32.94037824162996,33.23
770.0,990.0,59.88806325495379,35.979325376937226,34.46
780.0,990.0,82.29976863324411,37.96080550045236,35.81
790.0,990.0,50.17921865788673,38.69248476259969,37.14
800.0,990.0,20.19555273989714,39.06477608212798,38.69
810.0,990.0,41.18087157751696,37.994621825626446,40.36
820.0,990.0,9.809653669057766,36.79721562058978,42.08
830.0,990.0,32.20503805699188,36.8010685333916,43.64
840.0,990.0,26.768755929218248,37.4877587944254,45.13
850.0,990.0,51.25877645630398,38.974627121845955,46.59
860.0,990.0,53.73909313256215,42.55696282521112,48.08
870.0,990.0,58.05229599281556,47.906364881970156,49.5
880.0,990.0,61.870426715274924,54.66324073617028,50.8
890.0,990.0,67.67356125417258,61.1703613142474,51.58
900.0,990.0,69.63440405436845,62.237534827471755,51.71
910.0,990.0,59.20184876226513,61.82928117042041,51.83
920.0,990.0,56.219569673409325,60.91700418457834,51.95
930.0,990.0,45.39125460389627,59.308675673587565,51.96
940.0,990.0,66.2830335250001,55.89673780661647,51.5
950.0,990.0,57.88182982815703,50.49509915854553,50.99
960.0,990.0,56.21470601532272,44.20874475704839,50.48
970.0,990.0,46.544710733727605,38.494535031288564,49.99
980.0,990.0,39.792939816134215,34.9839976900494,49.49
990.0,990.0,14.080676701568105,33.78041150264222,48.97
0.0,980.0,53.09555027326193,33.97261800626789,40.45
10.0,980.0,28.274857429967277,33.401029477904636,41.3
20.0,980.0,13.760880913294386,34.32082926744722,42.11
30.0,980.0,21.314617814988345,32.62460372020054,43.02
40.0,980.0,19.001258793739527,31.02244309120317,44.12
50.0,980.0,-4.389804071006552,28.95632208918669,45.17
60.0,980.0,9.518170935657828,28.095731979254857,46.26
70.0,980.0,1.69275674686957,28.91853491339084,47.32
80.0,980.0,20.10155273161374,30.070054927242083,48.42
90.0,980.0,20.42224220734688,31.60495518138444,49.47
100.0,980.0,19.18586168778978,34.413658696343305,50.57
110.0,980.0,13.08889825462563,39.055339267066756,51.62
120.0,980.0,28.363981383257283,45.529909771106226,52.53
130.0,980.0,36.01691056186533,52.92767718889796,53.37
140.0,980.0,65.56987093238345,58.44424769746046,54.22
150.0,980.0,55.604874231173945,57.74817956930328,55.04
160.0,980.0,58.08451388829878,54.69980207692129,55.84
170.0,980.0,38.52723348843023,51.92081529193758,56.64
180.0,980.0,53.25606209182743,50.178922573372205,57.72
