Este[X],Norte[Y],VA
50.0,210.0,39.910185227328185
260.0,30.0,52.297980657873474
940.0,10.0,77.70958631036076
730.0,600.0,50.315175349591044
820.0,90.0,38.862473047133626
830.0,250.0,63.56691565480377
570.0,400.0,14.653158455852314
470.0,180.0,70.86038782478583
70.0,280.0,31.7900247731712
550.0,690.0,66.99193121162513
300.0,710.0,59.55041592090683
870.0,290.0,62.54000215368549
840.0,210.0,55.4793505541874
310.0,240.0,80.03622852471759
940.0,790.0,31.766831085715065
100.0,620.0,29.896825972401174
200.0,630.0,48.09468766302264
500.0,120.0,61.2669415923157
10.0,620.0,50.12300830708768
280.0,90.0,67.08033595929304
30.0,820.0,50.039598217655715
300.0,910.0,55.33536510756815
50.0,720.0,25.218526991161365
320.0,170.0,50.00521345388321
560.0,130.0,21.198704886245515
910.0,370.0,11.012146226256135
120.0,880.0,21.412116711441023
640.0,540.0,43.95404604467475
640.0,450.0,35.36593307403366
500.0,620.0,24.378169729540353
540.0,960.0,47.73702284005543
390.0,820.0,80.68365790680976
670.0,440.0,32.46403663895537
550.0,40.0,21.402458225854755
790.0,880.0,57.03556146234014
150.0,340.0,19.769872565385874
830.0,760.0,27.87386800817802
830.0,220.0,48.47137082122874
870.0,780.0,37.33278541356585
870.0,230.0,35.899777370432055
300.0,570.0,37.76779435294854
560.0,360.0,17.932874863991916
690.0,310.0,21.105509751760973
20.0,490.0,39.418477202973506
230.0,950.0,52.577483908691086
60.0,350.0,27.80066149817403
140.0,520.0,35.1959957207124
730.0,130.0,18.748459960368745
260.0,590.0,24.637123534616645
70.0,750.0,39.4535412617294
980.0,0.0,67.0718672067014
160.0,400.0,38.83258373481331
400.0,430.0,47.80915840533579
720.0,200.0,22.42597645474108
790.0,990.0,50.17921865788673
680.0,210.0,23.091019436007556
490.0,430.0,45.08975776021089
920.0,440.0,31.189919750110256
300.0,780.0,58.45407289572847
70.0,430.0,38.07786189990676
600.0,430.0,22.25275873186122
90.0,140.0,46.621063097600135
400.0,860.0,54.54633141010214
0.0,240.0,22.627180287206766
380.0,140.0,36.57762191572645
210.0,610.0,50.19308487567065
180.0,640.0,20.608293874235066
440.0,550.0,56.884645589741595
270.0,170.0,40.60720451426859
860.0,190.0,29.956529105430334
10.0,500.0,35.645531059422545
210.0,10.0,31.44305033950894
870.0,440.0,44.65187939947816
640.0,830.0,72.19140670081163
180.0,720.0,46.114675914421845
350.0,620.0,91.2415372301918
560.0,890.0,31.459692539270847
500.0,470.0,46.73488612989283
360.0,220.0,60.69251333863748
560.0,510.0,29.890262827913993
80.0,730.0,43.70935811885491
660.0,630.0,62.97686544828937
270.0,670.0,48.01681677058293
360.0,400.0,55.22326432017655
820.0,80.0,30.044916275394584
