Fe_pred,S_pred,Cu_pred,MET_pred
58.81,3.46,0.09,0.07
58.1,3.48,0.09,0.08
59.21,3.3,0.08,0.07
58.86,3.24,0.07,0.07
58.85,3.27,0.07,0.07
58.87,3.29,0.07,0.07
58.89,3.32,0.07,0.07
58.9,3.35,0.07,0.07
58.91,3.37,0.07,0.07
58.94,3.42,0.07,0.07
58.96,3.47,0.07,0.07
58.35,3.5,0.09,0.08
56.31,3.51,0.09,0.09
55.96,3.43,0.09,0.09
53.97,3.28,0.09,0.09
51.97,2.93,0.08,0.1
47.44,2.93,0.08,0.12
48.75,3.36,0.08,0.11
48.79,3.39,0.08,0.11
47.92,4.0,0.09,0.12
47.95,4.04,0.09,0.12
50.76,3.89,0.08,0.1
51.54,3.82,0.08,0.1
53.27,3.9,0.09,0.09
53.24,3.94,0.09,0.09
53.15,3.97,0.09,0.1
53.06,4.0,0.09,0.1
52.97,4.04,0.09,0.1
52.89,4.08,0.09,0.1
52.8,4.13,0.09,0.1
52.72,4.18,0.09,0.1
52.18,3.7,0.09,0.1
52.15,3.72,0.09,0.1
53.16,3.6,0.1,0.11
45.33,3.19,0.13,0.15
43.35,3.26,0.16,0.21
43.3,3.26,0.16,0.21
43.25,3.26,0.16,0.21
45.07,2.77,0.14,0.18
45.0,2.77,0.15,0.18
44.93,2.78,0.15,0.18
47.92,2.9,0.1,0.12
47.85,2.9,0.1,0.13
47.78,2.91,0.1,0.13
47.71,2.91,0.1,0.13
47.64,2.91,0.1,0.13
47.57,2.91,0.1,0.13
47.49,2.91,0.1,0.13
47.42,2.9,0.1,0.13
47.34,2.9,0.1,0.13
47.29,2.9,0.11,0.13
47.23,2.91,0.11,0.13
47.17,2.92,0.11,0.13
47.11,2.92,0.11,0.13
47.05,2.93,0.11,0.13
46.97,2.93,0.11,0.13
46.89,2.93,0.11,0.13
46.82,2.94,0.11,0.13
46.74,2.95,0.11,0.13
46.66,2.96,0.11,0.13
46.59,2.97,0.11,0.13
26.38,3.02,0.08,0.19
26.23,3.02,0.08,0.2
26.07,3.02,0.08,0.2
25.91,3.01,0.08,0.2
58.9,3.44,0.09,0.07
58.2,3.47,0.09,0.08
59.31,3.29,0.08,0.07
58.88,3.24,0.07,0.07
58.87,3.27,0.07,0.07
58.87,3.3,0.07,0.07
58.88,3.32,0.07,0.07
58.9,3.36,0.07,0.07
58.94,3.41,0.07,0.07
58.96,3.46,0.07,0.07
57.37,3.58,0.09,0.08
56.4,3.51,0.1,0.09
51.27,3.1,0.08,0.1
50.51,3.03,0.09,0.11
50.44,2.96,0.08,0.11
54.0,3.31,0.09,0.1
48.19,2.89,0.07,0.11
50.92,3.76,0.08,0.11
53.41,3.77,0.08,0.1
53.4,3.8,0.08,0.1
53.38,3.84,0.08,0.1
53.38,3.88,0.09,0.1
53.35,3.92,0.09,0.1
53.34,3.95,0.09,0.09
53.32,3.99,0.09,0.1
53.26,4.03,0.09,0.1
53.18,4.06,0.09,0.1
53.09,4.12,0.09,0.1
53.01,4.16,0.09,0.1
52.92,4.21,0.09,0.1
52.83,4.26,0.09,0.1
52.74,4.31,0.09,0.1
52.67,4.35,0.1,0.1
52.16,3.77,0.1,0.1
52.13,3.8,0.1,0.1
45.31,3.2,0.13,0.15
43.36,3.26,0.16,0.21
43.31,3.26,0.16,0.21
45.09,2.77,0.14,0.18
48.11,2.9,0.1,0.12
48.04,2.91,0.1,0.12
47.97,2.91,0.1,0.12
47.9,2.91,0.1,0.12
47.83,2.92,0.1,0.13
47.76,2.92,0.1,0.13
47.68,2.92,0.1,0.13
47.61,2.92,0.1,0.13
47.53,2.91,0.1,0.13
47.47,2.91,0.1,0.13
47.42,2.92,0.1,0.13
47.35,2.92,0.11,0.13
47.3,2.93,0.11,0.13
47.25,2.93,0.11,0.13
47.19,2.94,0.11,0.13
47.12,2.95,0.11,0.13
47.05,2.95,0.11,0.13
46.98,2.95,0.11,0.13
46.9,2.96,0.11,0.13
46.82,2.96,0.11,0.13
46.74,2.97,0.11,0.13
46.66,2.98,0.11,0.13
24.24,2.96,0.08,0.21
24.11,2.96,0.08,0.21
23.94,2.94,0.08,0.22
22.83,2.9,0.08,0.22
61.03,3.6,0.1,0.07
58.45,3.41,0.09,0.08
59.4,3.27,0.08,0.07
58.96,3.24,0.07,0.07
58.96,3.26,0.07,0.07
58.94,3.29,0.07,0.07
58.94,3.34,0.07,0.07
58.94,3.39,0.07,0.07
58.0,3.37,0.08,0.08
56.52,3.49,0.1,0.09
57.58,3.65,0.1,0.08
51.22,3.1,0.08,0.1
50.46,3.03,0.09,0.11
50.48,3.04,0.09,0.11
50.46,3.05,0.09,0.11
53.18,3.25,0.09,0.1
51.57,3.19,0.08,0.1
53.5,3.78,0.08,0.1
53.48,3.82,0.09,0.1
53.47,3.85,0.09,0.1
53.46,3.89,0.09,0.1
53.44,3.93,0.09,0.1
53.42,3.97,0.09,0.1
53.41,4.01,0.09,0.1
53.39,4.04,0.09,0.1
53.37,4.09,0.09,0.1
53.3,4.14,0.09,0.1
53.21,4.19,0.09,0.1
53.12,4.24,0.09,0.1
53.03,4.29,0.1,0.1
52.95,4.34,0.1,0.1
52.85,4.39,0.1,0.1
52.77,4.43,0.1,0.1
52.69,4.48,0.1,0.1
52.61,4.55,0.1,0.1
47.33,3.57,0.1,0.12
42.38,3.51,0.16,0.21
42.34,3.52,0.16,0.21
48.97,3.05,0.09,0.12
48.91,3.06,0.09,0.12
48.84,3.06,0.09,0.12
47.99,2.92,0.1,0.12
47.92,2.92,0.1,0.12
47.85,2.93,0.1,0.13
47.77,2.92,0.1,0.13
47.7,2.92,0.1,0.13
47.63,2.92,0.1,0.13
47.57,2.93,0.1,0.13
47.52,2.93,0.1,0.13
47.46,2.94,0.1,0.13
47.41,2.94,0.11,0.13
47.35,2.95,0.11,0.13
47.3,2.95,0.11,0.13
47.25,2.96,0.11,0.13
47.18,2.97,0.11,0.13
47.12,2.97,0.11,0.13
47.04,2.97,0.11,0.13
46.96,2.98,0.11,0.13
10.85,2.67,0.02,0.29
10.87,2.66,0.02,0.29
10.01,2.18,0.02,0.3
24.2,2.98,0.08,0.21
24.06,2.97,0.08,0.21
23.89,2.95,0.08,0.21
23.72,2.94,0.08,0.22
63.3,3.68,0.1,0.05
61.16,3.69,0.09,0.06
60.71,3.48,0.08,0.06
59.08,3.23,0.07,0.07
59.07,3.26,0.07,0.07
59.05,3.3,0.07,0.07
59.04,3.35,0.07,0.07
57.49,3.48,0.09,0.08
56.61,3.48,0.1,0.09
54.32,3.34,0.09,0.1
50.37,3.01,0.09,0.11
50.36,3.02,0.09,0.11
50.36,3.03,0.09,0.11
50.35,3.04,0.09,0.11
50.35,3.05,0.09,0.11
52.03,3.06,0.08,0.1
53.58,3.79,0.09,0.1
53.57,3.83,0.09,0.1
53.56,3.87,0.09,0.1
53.54,3.91,0.09,0.1
53.53,3.94,0.09,0.1
53.51,3.98,0.09,0.1
53.49,4.02,0.09,0.1
53.48,4.06,0.09,0.1
53.47,4.1,0.09,0.1
53.45,4.16,0.09,0.1
53.4,4.21,0.09,0.1
53.31,4.26,0.09,0.1
53.22,4.3,0.1,0.1
53.13,4.34,0.1,0.1
53.04,4.39,0.1,0.1
52.95,4.44,0.1,0.1
52.86,4.49,0.1,0.1
52.75,4.56,0.1,0.1
52.66,4.64,0.1,0.1
52.62,4.72,0.1,0.1
53.11,3.65,0.1,0.11
51.73,3.58,0.1,0.11
49.07,3.24,0.1,0.12
49.02,3.25,0.1,0.12
48.98,3.27,0.1,0.12
48.94,3.28,0.1,0.12
49.14,3.22,0.1,0.13
49.09,3.23,0.1,0.13
49.04,3.23,0.1,0.13
47.94,3.09,0.09,0.12
47.87,3.09,0.09,0.12
47.62,2.95,0.1,0.13
47.56,2.95,0.1,0.13
47.51,2.96,0.1,0.13
47.46,2.96,0.1,0.13
47.4,2.97,0.11,0.13
47.35,2.97,0.11,0.13
10.5,2.46,0.02,0.3
10.52,2.46,0.02,0.3
10.56,2.45,0.02,0.3
10.74,2.68,0.02,0.29
10.76,2.67,0.02,0.29
10.79,2.66,0.02,0.29
9.51,2.1,0.02,0.31
9.94,2.16,0.02,0.31
9.96,2.16,0.02,0.31
24.02,2.98,0.08,0.21
23.84,2.96,0.08,0.21
23.67,2.94,0.08,0.22
64.87,3.76,0.11,0.05
64.83,3.78,0.11,0.05
61.76,3.77,0.09,0.06
59.9,3.55,0.09,0.07
59.18,3.26,0.07,0.07
58.31,3.32,0.08,0.08
56.75,3.47,0.1,0.09
57.78,3.63,0.1,0.08
51.07,3.08,0.08,0.11
50.3,3.01,0.09,0.11
50.3,3.02,0.09,0.11
50.3,3.03,0.09,0.11
50.3,3.04,0.09,0.11
50.3,3.05,0.09,0.11
50.29,3.06,0.09,0.11
52.03,3.07,0.08,0.1
53.64,3.84,0.09,0.1
53.64,3.88,0.09,0.1
53.62,3.92,0.09,0.1
53.61,3.96,0.09,0.1
53.6,4.0,0.09,0.1
53.58,4.03,0.09,0.1
53.56,4.06,0.09,0.1
53.53,4.09,0.09,0.1
53.52,4.14,0.09,0.1
53.5,4.2,0.09,0.1
53.47,4.25,0.1,0.1
53.4,4.3,0.1,0.1
53.31,4.35,0.1,0.1
53.22,4.39,0.1,0.1
53.14,4.44,0.1,0.1
53.04,4.49,0.1,0.1
52.93,4.56,0.1,0.1
52.82,4.63,0.1,0.1
53.4,4.79,0.11,0.1
60.32,4.38,0.1,0.07
60.24,4.44,0.1,0.07
60.18,4.5,0.1,0.07
60.12,4.54,0.1,0.07
60.08,4.59,0.11,0.07
52.82,3.74,0.1,0.11
51.61,3.61,0.1,0.11
48.8,3.33,0.1,0.12
48.77,3.34,0.1,0.12
48.73,3.34,0.1,0.12
48.81,3.29,0.1,0.13
48.77,3.3,0.1,0.13
48.73,3.3,0.1,0.13
48.71,3.31,0.1,0.13
47.5,3.19,0.09,0.12
12.65,3.11,0.02,0.28
9.29,2.32,0.01,0.31
9.29,2.31,0.01,0.31
9.3,2.3,0.01,0.31
9.3,2.29,0.01,0.31
10.67,2.68,0.02,0.29
10.69,2.67,0.02,0.29
10.71,2.66,0.02,0.29
10.73,2.65,0.02,0.29
9.44,2.09,0.02,0.31
14.16,2.85,0.05,0.28
15.45,3.12,0.04,0.27
23.95,2.98,0.08,0.21
23.77,2.96,0.08,0.21
23.6,2.94,0.08,0.22
64.94,3.76,0.11,0.05
64.89,3.78,0.11,0.05
64.84,3.81,0.11,0.05
63.19,3.8,0.1,0.05
60.98,3.67,0.09,0.07
56.91,3.46,0.1,0.09
54.28,3.3,0.09,0.1
51.01,3.08,0.08,0.11
50.22,3.0,0.09,0.11
50.23,3.01,0.09,0.11
50.25,3.02,0.09,0.11
50.24,3.03,0.09,0.11
50.24,3.05,0.09,0.11
50.24,3.06,0.09,0.11
49.87,3.01,0.09,0.11
52.03,3.08,0.08,0.1
53.7,3.89,0.09,0.1
53.7,3.92,0.09,0.1
53.69,3.96,0.09,0.1
53.67,3.99,0.09,0.1
53.65,4.02,0.09,0.1
53.63,4.05,0.09,0.1
53.6,4.09,0.09,0.1
53.59,4.13,0.09,0.1
53.57,4.18,0.1,0.1
53.55,4.24,0.1,0.1
53.52,4.3,0.1,0.1
53.5,4.35,0.1,0.1
53.41,4.39,0.1,0.1
53.31,4.44,0.1,0.1
53.22,4.49,0.1,0.1
53.12,4.56,0.1,0.1
53.02,4.63,0.1,0.1
55.68,4.23,0.1,0.09
60.48,4.38,0.1,0.07
60.41,4.44,0.1,0.07
60.35,4.49,0.1,0.07
60.29,4.54,0.11,0.07
60.23,4.59,0.11,0.07
60.16,4.64,0.11,0.07
60.11,4.7,0.11,0.07
60.1,4.78,0.11,0.07
60.04,4.86,0.11,0.07
59.99,4.93,0.11,0.07
52.89,3.84,0.1,0.11
51.54,3.62,0.1,0.12
48.71,3.35,0.1,0.12
48.66,3.35,0.1,0.12
12.52,3.14,0.02,0.28
12.54,3.12,0.02,0.28
12.56,3.11,0.02,0.28
12.59,3.1,0.02,0.28
9.25,2.3,0.01,0.31
9.25,2.29,0.01,0.31
9.26,2.28,0.01,0.31
10.61,2.67,0.02,0.29
10.63,2.66,0.02,0.29
10.65,2.65,0.02,0.29
9.33,2.08,0.02,0.31
17.44,3.52,0.07,0.26
15.39,3.11,0.04,0.27
15.41,3.11,0.04,0.27
15.7,2.85,0.05,0.27
33.47,2.97,0.03,0.18
23.5,2.94,0.08,0.22
65.01,3.75,0.11,0.05
64.95,3.78,0.11,0.05
64.92,3.81,0.11,0.05
64.88,3.83,0.11,0.05
60.92,3.78,0.11,0.07
51.09,3.11,0.09,0.11
50.12,2.98,0.09,0.11
50.14,2.99,0.09,0.11
50.15,3.01,0.09,0.11
50.17,3.02,0.09,0.11
50.18,3.03,0.09,0.11
50.18,3.04,0.09,0.11
50.19,3.05,0.09,0.11
50.2,3.07,0.09,0.11
49.83,3.02,0.09,0.11
52.02,3.1,0.09,0.1
53.74,3.92,0.09,0.1
53.74,3.95,0.09,0.1
53.73,3.98,0.09,0.1
53.72,4.01,0.09,0.1
53.69,4.04,0.09,0.1
53.68,4.08,0.09,0.1
53.66,4.12,0.09,0.1
53.64,4.17,0.1,0.1
53.62,4.22,0.1,0.1
53.6,4.28,0.1,0.1
53.57,4.33,0.1,0.1
53.55,4.39,0.1,0.1
53.5,4.44,0.1,0.1
53.4,4.49,0.1,0.1
53.26,4.56,0.1,0.1
53.68,4.74,0.11,0.1
60.69,4.32,0.1,0.07
60.65,4.37,0.1,0.07
60.58,4.43,0.1,0.07
60.51,4.49,0.11,0.07
60.45,4.54,0.11,0.07
60.39,4.58,0.11,0.07
60.33,4.63,0.11,0.07
60.25,4.69,0.11,0.07
60.18,4.76,0.11,0.07
60.11,4.84,0.11,0.07
60.07,4.92,0.11,0.07
60.01,4.99,0.11,0.07
59.96,5.05,0.11,0.07
59.9,5.1,0.11,0.07
59.84,5.15,0.11,0.07
12.42,3.15,0.02,0.28
12.44,3.13,0.02,0.28
12.46,3.12,0.02,0.28
12.48,3.1,0.02,0.28
12.89,3.44,0.02,0.27
12.91,3.44,0.03,0.27
12.94,3.44,0.03,0.27
12.95,3.44,0.03,0.27
12.97,3.44,0.03,0.27
12.98,3.44,0.03,0.27
