DDH;ESTE_X;NORTE_Y;COTA_Z;Fe;S;Cu;MET;Al;Sc;Ca;Y;Sr;Mg;Ba;K;Litologia;Lito_code
ODH-01;189710.521;8439045.693;3802.32;49.34;0.015;0.031625;0.13493;2.275;0.975;1.935;6.25;32.15;1.17;227;0.92;MG;5
ODH-01;189710.521;8439045.693;3797.82;50.565;0.008;0.026445;0.12281;1.88;0.25;2.265;4.25;17.85;1.86;243.5;0.65;MG;5
ODH-01;189710.521;8439045.693;3794.82;45.21;0.008;0.04894;0.14942;3.13;3.3;0.825;7.05;17.5;3.12;256.5;0.7;MG;5
ODH-01;189710.521;8439045.693;3791.82;48.92;0.16;0.05991;0.167215;2.64;4.675;0.71;7.45;28.25;1.95;149.5;0.685;MG;5
ODH-01;189710.521;8439045.693;3788.82;55.34;0.135;0.06514;0.136705;2.22;0.25;0.38;6.75;28.25;1.425;108;0.63;MG;5
ODH-01;189710.521;8439045.693;3785.82;55.32;0.045;0.09219;0.13021;1.97;0.875;0.615;4.4;17.4;1.545;69.5;0.4;MG;5
ODH-01;189710.521;8439045.693;3782.82;60.745;0.02;0.077725;0.09255;1.19;0.25;0.22;5.2;6.1;0.955;37;0.13;MG;5
ODH-01;189710.521;8439045.693;3779.82;47.805;0.03;0.107095;0.15706;2.99;1.425;0.355;5.95;20.1;2.31;125.5;0.95;MG;5
ODH-01;189710.521;8439045.693;3776.82;58.515;0.04;0.13004;0.12429;1.78;0.25;0.23;4.35;13.45;1.02;48;0.245;MG;5
ODH-01;189710.521;8439045.693;3773.82;43.535;0.16;0.0868125;0.1861925;3.195;2.175;1.168;9.725;56.575;2.598;78.75;0.595;MG;5
ODH-01;189710.521;8439045.693;3770.82;64.59;0.115;0.024155;0.116405;0.975;0.25;0.295;6.75;16.65;0.62;31.5;0.205;MG;5
ODH-01;189710.521;8439045.693;3767.82;62.8;0.075;0.148815;0.1422;1.08;0.25;0.235;14.65;11.15;0.825;26;0.145;MG;5
ODH-01;189710.521;8439045.693;3764.82;63.88;0.13;0.07163;0.17751;1.075;0.25;0.18;10.4;5.9;0.995;25.5;0.2;MG;5
ODH-01;189710.521;8439045.693;3761.82;62.45;0.085;0.045845;0.12195;1.285;0.25;0.6;5.8;10.65;0.945;63;0.27;MG;5
ODH-01;189710.521;8439045.693;3758.82;61.04;1.26;0.16728;0.13831;1.665;0.25;0.2;4.35;8.05;1.22;31.5;0.295;MG;5
ODH-01;189710.521;8439045.693;3755.82;55.605;2.965;0.203585;0.17271;1.83;0.25;0.115;3.5;5.7;2.955;95;1.21;MG;5
ODH-01;189710.521;8439045.693;3752.82;51.98;2.4;0.158355;0.16416;2.39;1.075;0.195;8.4;11.55;2.915;70.5;0.99;MG;5
ODH-01;189710.521;8439045.693;3749.82;49.965;1.595;0.061285;0.191595;2.605;0.825;0.15;5.8;25.75;3.795;127.5;1.7;MG;5
ODH-01;189710.521;8439045.693;3746.82;50.455;1.87;0.08073;0.173665;2.155;0.25;0.11;3.1;8.6;4.015;129.5;1.595;MG;5
ODH-01;189710.521;8439045.693;3743.82;58.245;2.185;0.1034775;0.1418525;1.565;0.25;0.09;3.65;8.125;2.355;41.75;0.91;MG;5
ODH-01;189710.521;8439045.693;3740.82;54.745;3.335;0.143945;0.170645;1.725;0.25;0.095;2.75;6.8;2.925;62;1.155;MG;5
ODH-01;189710.521;8439045.693;3737.82;59.325;3.69;0.25197;0.141755;1.235;0.25;0.075;2.15;5.8;2.185;45;0.83;MG;5
ODH-01;189710.521;8439045.693;3734.82;62.215;3.675;0.194125;0.15438;1.09;0.25;0.145;3.45;6.1;1.475;32.5;0.515;MG;5
ODH-01;189710.521;8439045.693;3731.82;64.48;3.625;0.215515;0.142055;0.92;0.25;0.22;3.9;5.85;1.14;22.5;0.325;MG;5
ODH-01;189710.521;8439045.693;3728.82;63.98;3.61;0.176745;0.12617;0.935;0.25;0.14;3.35;5.45;1.21;30;0.32;MG;5
ODH-01;189710.521;8439045.693;3725.82;62.325;4.285;0.141815;0.12071;0.995;0.25;0.135;3.55;6.3;1.41;23.5;0.4;MG;5
ODH-01;189710.521;8439045.693;3722.82;59.325;2.385;0.07294;0.12546;1.37;0.25;0.51;3.95;9.15;1.79;36;0.53;MG;5
ODH-01;189710.521;8439045.693;3719.82;53.905;3.7;0.17767;0.15684;1.72;0.25;0.555;5.4;19.25;1.97;78.5;0.675;MG;5
ODH-01;189710.521;8439045.693;3716.995;47.761;3.39;0.0871261;0.1747284;2.386;0.25;0.625;5.423;26.431;3.08;87.434;0.968;MG;5
ODH-01;189710.521;8439045.693;3714.495;44.35;2.74;0.08361;0.14894;2.72;0.25;1.61;7.5;65.8;2.86;184;1.08;MG;5
ODH-01;189710.521;8439045.693;3712.57;59.08;3.27;0.11347;0.10457;0.84;0.25;0.52;3.9;14.6;0.7;40;0.19;MG;5
ODH-01;189710.521;8439045.693;3710.445;61.35;4.22;0.16804;0.14611;0.63;0.25;0.16;2.1;7.3;0.65;26;0.14;MG;5
ODH-01;189710.521;8439045.693;3707.57;59.6;3.135;0.778475;0.138695;0.675;1.775;0.105;3.5;5.25;0.57;21.5;0.095;MG;5
ODH-01;189710.521;8439045.693;3705.07;59.28;3.3;0.09168;0.13128;0.6;0.25;0.06;1.5;4.6;0.5;17;0.09;MG;5
ODH-01;189710.521;8439045.693;3702.57;62.63;3.545;0.167985;0.13072;0.995;0.25;0.37;3.5;8.6;0.865;37.5;0.195;MG;5
ODH-01;189710.521;8439045.693;3699.57;61.515;3.635;0.11888;0.102085;0.985;0.25;0.37;3.05;9.65;0.77;36;0.165;MG;5
ODH-01;189710.521;8439045.693;3696.57;61.01;3.42;0.11693;0.06654;0.77;0.25;0.43;3.1;7.35;0.49;26;0.09;MG;5
ODH-01;189710.521;8439045.693;3693.57;61.245;4.205;0.14663;0.10974;1.085;0.25;1.08;4.2;11.15;1.04;39;0.305;MG;5
ODH-01;189710.521;8439045.693;3690.57;61.685;3.85;0.19391;0.102885;1.01;0.25;0.84;3.45;9.2;0.88;33;0.295;MG;5
ODH-01;189710.521;8439045.693;3687.57;58.985;4.49;0.0234;0.126875;0.925;0.25;1.22;3.65;10.15;0.74;36;0.215;MG;5
ODH-01;189710.521;8439045.693;3684.57;58.848;5.435;0.046535;0.158785;1.095;0.25;1.392;3.75;17.5;0.925;50;0.413;MG;5
ODH-01;189710.521;8439045.693;3681.57;59.445;2.9;0.053455;0.109575;1.08;0.25;1.78;4;14.85;0.92;38.5;0.39;MG;5
ODH-01;189710.521;8439045.693;3678.57;61.305;2.77;0.080205;0.110955;1.255;0.475;1.525;4.6;25.85;0.93;52.5;0.45;MG;5
ODH-01;189710.521;8439045.693;3675.57;56.895;4.02;0.06288;0.146815;1.405;0.25;1.83;5.5;57.3;1.105;91.5;0.635;MG;5
ODH-01;189710.521;8439045.693;3673.245;53.82;2.3;0.09134;0.12192;1.95;0.25;2.15;5.7;65.4;1.32;194;0.86;MG;5
ODH-01;189710.521;8439045.693;3671.67;25.79;1.59;0.03423;0.23614;4.62;5.2;5.64;13.9;254.2;3.73;324;2.12;INT;3
ODH-01;189710.521;8439045.693;3670.095;3;0.09;0.00848;0.33358;9.42;8.5;4.25;20.6;423.4;1.07;491;3.29;INT;3
ODH-01;189710.521;8439045.693;3666.12;4.09;0.12;0.00591;0.31362;9.45;8.4;2.96;14.6;397.7;1.2;404;1.89;FLL;2
ODH-02;189710.3937;8439045.653;3804.25334;48.407;0.111;0.040074;0.218268;3.335;12.307;0.802;11.407;61.253;1.351;231.4;0.586;SL;7
ODH-02;189711.7114;8439044.189;3802.284047;49.367;0.174;0.1550429;0.1609677;3.014;12.106;0.434;12.437;58.262;1.412;199.424;0.784;MG;5
ODH-02;189712.8115;8439042.968;3800.640024;57.4;0.05;0.09665;0.10535;2.25;12.8;0.32;7.6;22.3;1.18;169;0.54;MG;5
ODH-02;189714.0133;8439041.633;3798.843973;38.31;0.01;0.01944;0.23504;3.92;10.75;0.805;15.05;57.15;2.69;525;1.67;MG;5
ODH-02;189715.4327;8439040.056;3796.722653;38.355;0.017;0.02382;0.1913525;3.1;11.125;3.59;9.925;27.55;1.825;497.25;1.315;MG;5
ODH-02;189716.8522;8439038.48;3794.601332;46.495;0.025;0.10191;0.13526;1.875;10.35;3.625;9.4;21.4;1.195;299.5;0.405;MG;5
ODH-02;189717.9168;8439037.298;3793.010342;36.82;0.01;0.04517;0.18125;3.81;10.2;1.34;15.8;42.4;3.16;391;1.09;FLL;2
ODH-02;189718.7211;8439036.404;3791.80826;37.38;0.02;0.03297;0.13741;3.69;10.7;2.49;11.3;60.7;3.69;387;1.6;FLL;2
ODH-02;189719.8803;8439035.117;3790.075849;57.51;0.01;0.07313;0.0807;1.06;11.55;3.895;6.7;17;0.92;59;0.16;MG;5
ODH-02;189721.2998;8439033.54;3787.954529;59.15;0.015;0.068005;0.077435;1.055;10.75;3.435;8.05;14.95;0.68;63.5;0.125;MG;5
ODH-02;189722.7192;8439031.964;3785.833208;55.715;0.012;0.046525;0.099335;2.09;12.2;1.68;7.95;17.05;1.94;105.5;0.315;MG;5
ODH-02;189724.1386;8439030.388;3783.711888;55.235;0.04;0.043735;0.1179;2.205;11.45;0.435;7.4;16.1;2.51;139.5;0.62;MG;5
ODH-02;189725.5581;8439028.811;3781.590567;55.395;0.155;0.090105;0.122895;2.17;10.6;0.635;6.75;18.45;2.385;302;0.61;MG;5
ODH-02;189726.9775;8439027.235;3779.469247;62.61;0.03;0.102465;0.096735;1.105;12.5;1.275;6.75;12.15;0.87;196.5;0.115;MG;5
ODH-02;189728.397;8439025.658;3777.347927;61.295;0.035;0.1054175;0.10004;1.378;12.75;1.527;8.075;19.475;0.665;1003.25;0.12;MG;5
ODH-02;189729.8164;8439024.082;3775.226606;58.045;0.095;0.02403;0.07658;1.5;11.65;1.96;6.7;72.9;0.85;3589;0.125;MG;5
ODH-02;189731.2358;8439022.505;3773.105286;56.31;0.08;0.01504;0.06449;1.015;9.95;2.97;7.55;13.6;0.45;492;0.08;MG;5
ODH-02;189732.6553;8439020.929;3770.983966;41.28;0.21;0.047175;0.11502;1.96;8.3;3.84;9.2;32.6;1.31;750;0.125;FLL;2
ODH-02;189734.0392;8439019.392;3768.915678;17.861;0.569;0.0503484;0.1418805;6.358;8.268;2.563;13.721;206.732;0.992;544.789;1.349;INT;3
ODH-03;189710.3892;8439045.94;3804.018962;59.345;0.13;0.042265;0.08811;1.78;0.25;0.275;6.2;23.95;1.27;85.5;0.59;SL;7
ODH-03;189709.3855;8439047.055;3801.420886;41.875;0.02;0.01426;0.1182;3.065;1.15;2.745;7.55;43.2;1.4;387.5;1.51;MG;5
ODH-03;189708.3818;8439048.17;3798.822809;47.65;0.02;0.018525;0.121545;2.62;1.025;2.985;8.95;39.75;1.25;557;1;MG;5
ODH-03;189707.3781;8439049.285;3796.224733;47.4;0.02;0.061045;0.11951;2.75;0.625;1.78;7.55;20.6;3.015;401;1.205;MG;5
ODH-03;189706.3744;8439050.399;3793.626657;66.62;0.25;0.028185;0.056075;1.02;0.25;0.155;3.75;8.8;0.41;76.5;0.39;MG;5
ODH-03;189705.3707;8439051.514;3791.028581;64.872;0.265;0.0625425;0.077935;1.158;0.25;0.208;4.875;11.425;0.77;77.25;0.525;MG;5
ODH-03;189704.367;8439052.629;3788.430505;45.288;0.132;0.0305193;0.1329507;3.503;1.533;0.591;6.267;26.773;3.605;138.6;1.255;SK;6
ODH-03;189703.4469;8439053.65;3786.048935;31.22;0.02;0.04994;0.13629;5.17;3.4;0.72;10.7;35.3;6.16;157;1.6;SK;6
ODH-03;189702.6105;8439054.579;3783.883871;24.18;0.02;0.1376;0.13118;5.93;4.5;0.95;9.9;70.2;6.06;274;2.27;FLL;2
ODH-03;189701.6905;8439055.601;3781.502301;55.99;0.1;0.55526;0.082405;2.9;0.475;0.23;4.35;41.5;1.31;59.5;0.585;FLL;2
ODH-03;189700.6868;8439056.716;3778.904225;64.125;0.065;0.19539;0.081735;1.865;0.25;0.175;4.15;12.4;0.675;23.5;0.29;MG;5
ODH-03;189699.6831;8439057.831;3776.306149;44.6;0.02;0.21042;0.126805;3.305;1.225;0.605;5.05;8.6;5.83;56.5;0.945;MG;5
ODH-03;189698.6794;8439058.945;3773.708073;56.495;0.21;0.068005;0.11114;2.075;0.625;0.405;4.45;20.4;2.36;57.5;0.605;MG;5
ODH-03;189697.6757;8439060.06;3771.109997;58.775;0.18;0.057145;0.08015;1.49;0.25;0.415;5.2;15.85;1.29;24.5;0.285;MG;5
ODH-03;189696.672;8439061.175;3768.51192;44.945;2.82;0.13795;0.14897;2.795;1.525;0.35;7.55;13.65;3.49;97;0.71;MG;5
ODH-03;189695.6683;8439062.29;3765.913844;62.565;2.812;0.1528375;0.1037875;1.253;0.25;0.28;4.3;7.625;1.53;21.75;0.24;MG;5
ODH-03;189694.6646;8439063.404;3763.315768;56.13;0.23;0.074415;0.10274;2.305;0.525;0.29;7.65;22.85;1.7;41.5;0.475;MG;5
ODH-03;189693.9118;8439064.24;3761.367211;43.12;0.02;0.05941;0.14026;3.13;1.8;0.47;7;10.5;3.24;50;0.64;MG;5
ODH-03;189693.3765;8439064.835;3759.98157;19.33;0.11;0.01193;0.13425;5.5;8.9;0.88;9.9;33.1;5.26;278;2.34;MG;5
ODH-03;189692.5903;8439065.708;3757.94641;58.005;0.265;0.027125;0.07546;1.65;0.25;0.335;4.05;18.75;1.69;21;0.625;MG;5
ODH-03;189691.6535;8439066.748;3755.521539;51.89;0.508;0.0528108;0.1011265;2.356;1.317;0.367;4.1;19.438;2.57;51.577;1.065;MG;5
ODH-03;189690.7167;8439067.789;3753.096668;58.305;0.53;0.02522;0.069525;1.32;0.25;0.16;4.75;8.35;1.325;29.5;0.675;MG;5
ODH-03;189689.7632;8439068.848;3750.628496;56.158;0.744;0.0586822;0.0777289;2.004;1.294;0.124;4.211;12.978;0.939;48.111;0.488;MG;5
ODH-03;189688.8264;8439069.888;3748.203625;61.235;0.363;0.0609186;0.0735366;1.436;0.25;0.175;4.297;14.703;1.325;36.483;0.476;MG;5
ODH-03;189687.8395;8439070.984;3745.64885;62.385;0.05;0.03934;0.07323;1.29;0.25;0.19;6.55;9.55;1.54;39.5;0.425;MG;5
ODH-03;189687.0114;8439071.904;3743.505437;58.92;0.07;0.05189;0.07177;1.73;0.25;0.24;6;9.3;1;29;0.32;MG;5
ODH-03;189686.4092;8439072.573;3741.946591;18.62;1.69;0.28483;0.22854;7.95;10.8;0.72;9.7;98.5;3.96;311;2.14;MG;5
ODH-03;189685.715;8439073.344;3740.149588;60.505;0.175;0.064785;0.077615;1.54;0.25;0.195;4.5;14.95;0.845;31.5;0.35;MG;5
ODH-03;189684.7949;8439074.366;3737.768019;54.55;0.255;0.04741;0.09014;2.935;1.275;0.2;4.2;28.85;0.765;57;0.565;MG;5
ODH-03;189683.7912;8439075.48;3735.169942;58.265;0.345;0.087995;0.06397;2.46;0.25;0.19;5.15;15.85;0.535;21.5;0.305;MG;5
ODH-03;189682.7875;8439076.595;3732.571866;61.965;0.23;0.051;0.045985;1.63;0.25;0.15;4.15;10.8;0.505;29;0.38;MG;5
ODH-03;189681.7838;8439077.71;3729.97379;63.645;0.09;0.04625;0.05075;1.12;0.25;0.115;4.5;10.6;0.46;37.5;0.225;MG;5
ODH-03;189680.7801;8439078.825;3727.375714;66.115;0.46;0.02375;0.06133;0.95;0.25;0.065;3.15;5.15;0.16;23.5;0.255;MG;5
ODH-03;189679.7764;8439079.939;3724.777637;64.025;0.88;0.03962;0.06478;1.415;0.25;0.065;4;6.5;0.55;28.5;0.36;MG;5
ODH-03;189678.7727;8439081.054;3722.179561;67.41;0.075;0.02511;0.04661;0.935;0.25;0.09;3.4;6.95;0.22;21.5;0.16;MG;5
